SANTANDER - DITL;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Tax (IOF);;;;;USD;BRL;AC;VC;;;;;;;;;;;;;;;;;
30/08/26 dom;0,00%; 5,38 ;1.424.809,75 ; 271,41 ; 108.180,74 ; 1.425.081,16 ; 458.391,97 ; 6.903.721,41 ; 7.666.651,61 ; 762.930,21 ; 1.741,89 ; 152.797,32 ; -   ; -   ;;;;;;;;;;;;;;
31/08/26 seg;0,00%; 5,38 ;1.425.081,16 ; 271,46 ; 108.452,20 ; 1.425.352,62 ; 459.852,38 ; 6.905.181,82 ; 7.668.112,02 ; 762.930,21 ; 1.747,44 ; 153.284,13 ; -   ; -   ;;;;;;;;;;;;;;
01/09/26 ter;0,00%; 5,38 ;1.425.352,62 ; 271,51 ; 108.723,72 ; 1.425.624,13 ; 461.313,07 ; 6.906.642,51 ; 7.669.572,71 ; 762.930,21 ; 1.752,99 ; 153.771,02 ; -   ; -   ;;;;;;;;;;;;;;
02/09/26 qua;0,00%; 5,38 ;1.425.624,13 ; 271,57 ; 108.995,28 ; 1.425.895,70 ; 462.774,04 ; 6.908.103,48 ; 7.671.033,68 ; 762.930,21 ; 1.758,54 ; 154.258,01 ; -   ; -   ;;;;;;;;;;;;;;
03/09/26 qui;0,00%; 5,38 ;1.425.895,70 ; 271,62 ; 109.266,90 ; 1.426.167,32 ; 464.235,28 ; 6.909.564,72 ; 7.672.494,93 ; 762.930,21 ; 1.764,09 ; 154.745,09 ; -   ; -   ;;;;;;;;;;;;;;
04/09/26 sex;0,00%; 5,38 ;1.426.167,32 ; 271,67 ; 109.538,57 ; 1.426.438,99 ; 465.696,81 ; 6.911.026,25 ; 7.673.956,45 ; 762.930,21 ; 1.769,65 ; 155.232,27 ; -   ; -   ;;;;;;;;;;;;;;
05/09/26 sáb;0,00%; 5,38 ;1.426.438,99 ; 271,72 ; 109.810,29 ; 1.426.710,71 ; 467.158,61 ; 6.912.488,05 ; 7.675.418,26 ; 762.930,21 ; 1.775,20 ; 155.719,54 ; -   ; -   ;;;;;;;;;;;;;;
06/09/26 dom;0,00%; 5,38 ;1.426.710,71 ; 271,77 ; 110.082,06 ; 1.426.982,48 ; 468.620,69 ; 6.913.950,13 ; 7.676.880,34 ; 762.930,21 ; 1.780,76 ; 156.206,90 ; -   ; -   ;;;;;;;;;;;;;;
07/09/26 seg;0,00%; 5,38 ;1.426.982,48 ; 271,82 ; 110.353,89 ; 1.427.254,30 ; 470.083,05 ; 6.915.412,49 ; 7.678.342,70 ; 762.930,21 ; 1.786,32 ; 156.694,35 ; -   ; -   ;;;;;;;;;;;;;;
08/09/26 ter;0,00%; 5,38 ;1.427.254,30 ; 271,88 ; 110.625,76 ; 1.427.526,18 ; 471.545,69 ; 6.916.875,13 ; 7.679.805,34 ; 762.930,21 ; 1.791,87 ; 157.181,90 ; -   ; -   ;;;;;;;;;;;;;;
09/09/26 qua;0,00%; 5,38 ;1.427.526,18 ; 271,93 ; 110.897,69 ; 1.427.798,11 ; 473.008,61 ; 6.918.338,05 ; 7.681.268,25 ; 762.930,21 ; 1.797,43 ; 157.669,54 ; -   ; -   ;;;;;;;;;;;;;;
10/09/26 qui;0,00%; 5,38 ;1.427.798,11 ; 271,98 ; 111.169,67 ; 1.428.070,09 ; 474.471,80 ; 6.919.801,24 ; 7.682.731,45 ; 762.930,21 ; 1.802,99 ; 158.157,27 ; -   ; -   ;;;;;;;;;;;;;;
11/09/26 sex;0,00%; 5,38 ;1.428.070,09 ; 272,03 ; 111.441,70 ; 1.428.342,12 ; 475.935,28 ; 6.921.264,72 ; 7.684.194,92 ; 762.930,21 ; 1.808,55 ; 158.645,09 ; -   ; -   ;;;;;;;;;;;;;;
12/09/26 sáb;0,00%; 5,38 ;1.428.342,12 ; 272,08 ; 111.713,79 ; 1.428.614,20 ; 477.399,03 ; 6.922.728,47 ; 7.685.658,68 ; 762.930,21 ; 1.814,12 ; 159.133,01 ; -   ; -   ;;;;;;;;;;;;;;
13/09/26 dom;0,00%; 5,38 ;1.428.614,20 ; 272,14 ; 111.985,92 ; 1.428.886,34 ; 478.863,06 ; 6.924.192,50 ; 7.687.122,71 ; 762.930,21 ; 1.819,68 ; 159.621,02 ; -   ; -   ;;;;;;;;;;;;;;
14/09/26 seg;0,00%; 5,38 ;1.428.886,34 ; 272,19 ; 112.258,11 ; 1.429.158,52 ; 480.327,37 ; 6.925.656,81 ; 7.688.587,02 ; 762.930,21 ; 1.825,24 ; 160.109,12 ; -   ; -   ;;;;;;;;;;;;;;
15/09/26 ter;0,00%; 5,38 ;1.429.158,52 ; 272,24 ; 112.530,35 ; 1.429.430,76 ; 481.791,96 ; 6.927.121,40 ; 7.690.051,61 ; 762.930,21 ; 1.830,81 ; 160.597,32 ; -   ; -   ;;;;;;;;;;;;;;
16/09/26 qua;0,00%; 5,38 ;1.429.430,76 ; 272,29 ; 112.802,64 ; 1.429.703,05 ; 483.256,83 ; 6.928.586,27 ; 7.691.516,48 ; 762.930,21 ; 1.836,38 ; 161.085,61 ; -   ; -   ;;;;;;;;;;;;;;
17/09/26 qui;0,00%; 5,38 ;1.429.703,05 ; 272,34 ; 113.074,98 ; 1.429.975,39 ; 484.721,98 ; 6.930.051,42 ; 7.692.981,63 ; 762.930,21 ; 1.841,94 ; 161.573,99 ; -   ; -   ;;;;;;;;;;;;;;
18/09/26 sex;0,00%; 5,38 ;1.429.975,39 ; 272,39 ; 113.347,37 ; 1.430.247,79 ; 486.187,41 ; 6.931.516,85 ; 7.694.447,05 ; 762.930,21 ; 1.847,51 ; 162.062,47 ; -   ; -   ;;;;;;;;;;;;;;
19/09/26 sáb;0,00%; 5,38 ;1.430.247,79 ; 272,45 ; 113.619,82 ; 1.430.520,24 ; 487.653,11 ; 6.932.982,55 ; 7.695.912,76 ; 762.930,21 ; 1.853,08 ; 162.551,04 ; -   ; -   ;;;;;;;;;;;;;;
20/09/26 dom;0,00%; 5,38 ;1.430.520,24 ; 272,50 ; 113.892,32 ; 1.430.792,73 ; 489.119,10 ; 6.934.448,54 ; 7.697.378,75 ; 762.930,21 ; 1.858,65 ; 163.039,70 ; -   ; -   ;;;;;;;;;;;;;;
21/09/26 seg;0,00%; 5,38 ;1.430.792,73 ; 272,55 ; 114.164,87 ; 1.431.065,28 ; 490.585,36 ; 6.935.914,81 ; 7.698.845,01 ; 762.930,21 ; 1.864,22 ; 163.528,45 ; -   ; -   ;;;;;;;;;;;;;;
22/09/26 ter;0,00%; 5,38 ;1.431.065,28 ; 272,60 ; 114.437,47 ; 1.431.337,89 ; 492.051,91 ; 6.937.381,35 ; 7.700.311,55 ; 762.930,21 ; 1.869,80 ; 164.017,30 ; -   ; -   ;;;;;;;;;;;;;;
23/09/26 qua;0,00%; 5,38 ;1.431.337,89 ; 272,65 ; 114.710,12 ; 1.431.610,54 ; 493.518,73 ; 6.938.848,17 ; 7.701.778,38 ; 762.930,21 ; 1.875,37 ; 164.506,24 ; -   ; -   ;;;;;;;;;;;;;;
24/09/26 qui;0,00%; 5,38 ;1.431.610,54 ; 272,71 ; 114.982,83 ; 1.431.883,24 ; 494.985,83 ; 6.940.315,28 ; 7.703.245,48 ; 762.930,21 ; 1.880,95 ; 164.995,28 ; -   ; -   ;;;;;;;;;;;;;;
25/09/26 sex;0,00%; 5,38 ;1.431.883,24 ; 272,76 ; 115.255,59 ; 1.432.156,00 ; 496.453,22 ; 6.941.782,66 ; 7.704.712,86 ; 762.930,21 ; 1.886,52 ; 165.484,41 ; -   ; -   ;;;;;;;;;;;;;;
26/09/26 sáb;0,00%; 5,38 ;1.432.156,00 ; 272,81 ; 115.528,40 ; 1.432.428,81 ; 497.920,88 ; 6.943.250,32 ; 7.706.180,52 ; 762.930,21 ; 1.892,10 ; 165.973,63 ; -   ; -   ;;;;;;;;;;;;;;
27/09/26 dom;0,00%; 5,38 ;1.432.428,81 ; 272,86 ; 115.801,26 ; 1.432.701,67 ; 499.388,82 ; 6.944.718,26 ; 7.707.648,47 ; 762.930,21 ; 1.897,68 ; 166.462,94 ; -   ; -   ;;;;;;;;;;;;;;
28/09/26 seg;0,00%; 5,38 ;1.432.701,67 ; 272,91 ; 116.074,17 ; 1.432.974,59 ; 500.857,04 ; 6.946.186,48 ; 7.709.116,69 ; 762.930,21 ; 1.903,26 ; 166.952,35 ; -   ; -   ;;;;;;;;;;;;;;
29/09/26 ter;0,00%; 5,38 ;1.432.974,59 ; 272,97 ; 116.347,14 ; 1.433.247,55 ; 502.325,54 ; 6.947.654,98 ; 7.710.585,19 ; 762.930,21 ; 1.908,84 ; 167.441,85 ; -   ; -   ;;;;;;;;;;;;;;
30/09/26 qua;0,00%; 5,38 ;1.433.247,55 ; 273,02 ; 116.620,16 ; 1.433.520,57 ; 503.794,32 ; 6.949.123,76 ; 7.712.053,97 ; 762.930,21 ; 1.914,42 ; 167.931,44 ; -   ; -   ;;;;;;;;;;;;;;
01/10/26 qui;0,00%; 5,38 ;1.433.520,57 ; 273,07 ; 116.893,23 ; 1.433.793,64 ; 505.263,38 ; 6.950.592,82 ; 7.713.523,03 ; 762.930,21 ; 1.920,00 ; 168.421,13 ; -   ; -   ;;;;;;;;;;;;;;
02/10/26 sex;0,00%; 5,38 ;1.433.793,64 ; 273,12 ; 117.166,35 ; 1.434.066,76 ; 506.732,72 ; 6.952.062,16 ; 7.714.992,37 ; 762.930,21 ; 1.925,58 ; 168.910,91 ; -   ; -   ;;;;;;;;;;;;;;
03/10/26 sáb;0,00%; 5,38 ;1.434.066,76 ; 273,17 ; 117.439,52 ; 1.434.339,94 ; 508.202,34 ; 6.953.531,78 ; 7.716.461,99 ; 762.930,21 ; 1.931,17 ; 169.400,78 ; -   ; -   ;;;;;;;;;;;;;;
04/10/26 dom;0,00%; 5,38 ;1.434.339,94 ; 273,23 ; 117.712,75 ; 1.434.613,16 ; 509.672,24 ; 6.955.001,68 ; 7.717.931,89 ; 762.930,21 ; 1.936,75 ; 169.890,75 ; -   ; -   ;;;;;;;;;;;;;;
05/10/26 seg;0,00%; 5,38 ;1.434.613,16 ; 273,28 ; 117.986,02 ; 1.434.886,44 ; 511.142,42 ; 6.956.471,86 ; 7.719.402,07 ; 762.930,21 ; 1.942,34 ; 170.380,81 ; -   ; -   ;;;;;;;;;;;;;;
06/10/26 ter;0,00%; 5,38 ;1.434.886,44 ; 273,33 ; 118.259,35 ; 1.435.159,77 ; 512.612,88 ; 6.957.942,32 ; 7.720.872,53 ; 762.930,21 ; 1.947,93 ; 170.870,96 ; -   ; -   ;;;;;;;;;;;;;;
07/10/26 qua;0,00%; 5,38 ;1.435.159,77 ; 273,38 ; 118.532,74 ; 1.435.433,15 ; 514.083,62 ; 6.959.413,06 ; 7.722.343,27 ; 762.930,21 ; 1.953,52 ; 171.361,21 ; -   ; -   ;;;;;;;;;;;;;;
08/10/26 qui;0,00%; 5,38 ;1.435.433,15 ; 273,43 ; 118.806,17 ; 1.435.706,59 ; 515.554,64 ; 6.960.884,08 ; 7.723.814,29 ; 762.930,21 ; 1.959,11 ; 171.851,55 ; -   ; -   ;;;;;;;;;;;;;;
09/10/26 sex;0,00%; 5,38 ;1.435.706,59 ; 273,49 ; 119.079,66 ; 1.435.980,07 ; 517.025,94 ; 6.962.355,38 ; 7.725.285,59 ; 762.930,21 ; 1.964,70 ; 172.341,98 ; -   ; -   ;;;;;;;;;;;;;;
10/10/26 sáb;0,00%; 5,38 ;1.435.980,07 ; 273,54 ; 119.353,19 ; 1.436.253,61 ; 518.497,52 ; 6.963.826,96 ; 7.726.757,17 ; 762.930,21 ; 1.970,29 ; 172.832,51 ; -   ; -   ;;;;;;;;;;;;;;
11/10/26 dom;0,00%; 5,38 ;1.436.253,61 ; 273,59 ; 119.626,78 ; 1.436.527,20 ; 519.969,38 ; 6.965.298,82 ; 7.728.229,03 ; 762.930,21 ; 1.975,88 ; 173.323,13 ; -   ; -   ;;;;;;;;;;;;;;
12/10/26 seg;0,00%; 5,38 ;1.436.527,20 ; 273,64 ; 119.900,43 ; 1.436.800,84 ; 521.441,52 ; 6.966.770,97 ; 7.729.701,17 ; 762.930,21 ; 1.981,48 ; 173.813,84 ; -   ; -   ;;;;;;;;;;;;;;
13/10/26 ter;0,00%; 5,38 ;1.436.800,84 ; 273,69 ; 120.174,12 ; 1.437.074,54 ; 522.913,95 ; 6.968.243,39 ; 7.731.173,59 ; 762.930,21 ; 1.987,07 ; 174.304,65 ; -   ; -   ;;;;;;;;;;;;;;
14/10/26 qua;0,00%; 5,38 ;1.437.074,54 ; 273,75 ; 120.447,87 ; 1.437.348,28 ; 524.386,65 ; 6.969.716,09 ; 7.732.646,29 ; 762.930,21 ; 1.992,67 ; 174.795,55 ; -   ; -   ;;;;;;;;;;;;;;
15/10/26 qui;0,00%; 5,38 ;1.437.348,28 ; 273,80 ; 120.721,67 ; 1.437.622,08 ; 525.859,63 ; 6.971.189,07 ; 7.734.119,28 ; 762.930,21 ; 1.998,27 ; 175.286,54 ; -   ; -   ;;;;;;;;;;;;;;
16/10/26 sex;0,00%; 5,38 ;1.437.622,08 ; 273,85 ; 120.995,52 ; 1.437.895,93 ; 527.332,89 ; 6.972.662,34 ; 7.735.592,54 ; 762.930,21 ; 2.003,86 ; 175.777,63 ; -   ; -   ;;;;;;;;;;;;;;
17/10/26 sáb;0,00%; 5,38 ;1.437.895,93 ; 273,90 ; 121.269,42 ; 1.438.169,84 ; 528.806,44 ; 6.974.135,88 ; 7.737.066,08 ; 762.930,21 ; 2.009,46 ; 176.268,81 ; -   ; -   ;;;;;;;;;;;;;;
18/10/26 dom;0,00%; 5,38 ;1.438.169,84 ; 273,96 ; 121.543,38 ; 1.438.443,79 ; 530.280,26 ; 6.975.609,70 ; 7.738.539,91 ; 762.930,21 ; 2.015,06 ; 176.760,09 ; -   ; -   ;;;;;;;;;;;;;;
19/10/26 seg;0,00%; 5,38 ;1.438.443,79 ; 274,01 ; 121.817,38 ; 1.438.717,80 ; 531.754,37 ; 6.977.083,81 ; 7.740.014,01 ; 762.930,21 ; 2.020,67 ; 177.251,46 ; -   ; -   ;;;;;;;;;;;;;;
20/10/26 ter;0,00%; 5,38 ;1.438.717,80 ; 274,06 ; 122.091,44 ; 1.438.991,86 ; 533.228,75 ; 6.978.558,20 ; 7.741.488,40 ; 762.930,21 ; 2.026,27 ; 177.742,92 ; -   ; -   ;;;;;;;;;;;;;;
21/10/26 qua;0,00%; 5,38 ;1.438.991,86 ; 274,11 ; 122.365,56 ; 1.439.265,97 ; 534.703,42 ; 6.980.032,86 ; 7.742.963,07 ; 762.930,21 ; 2.031,87 ; 178.234,47 ; -   ; -   ;;;;;;;;;;;;;;
22/10/26 qui;0,00%; 5,38 ;1.439.265,97 ; 274,16 ; 122.639,72 ; 1.439.540,13 ; 536.178,37 ; 6.981.507,81 ; 7.744.438,02 ; 762.930,21 ; 2.037,48 ; 178.726,12 ; -   ; -   ;;;;;;;;;;;;;;
23/10/26 sex;0,00%; 5,38 ;1.439.540,13 ; 274,22 ; 122.913,94 ; 1.439.814,35 ; 537.653,60 ; 6.982.983,04 ; 7.745.913,25 ; 762.930,21 ; 2.043,08 ; 179.217,87 ; -   ; -   ;;;;;;;;;;;;;;
24/10/26 sáb;0,00%; 5,38 ;1.439.814,35 ; 274,27 ; 123.188,20 ; 1.440.088,62 ; 539.129,11 ; 6.984.458,55 ; 7.747.388,76 ; 762.930,21 ; 2.048,69 ; 179.709,70 ; -   ; -   ;;;;;;;;;;;;;;
25/10/26 dom;0,00%; 5,38 ;1.440.088,62 ; 274,32 ; 123.462,53 ; 1.440.362,94 ; 540.604,90 ; 6.985.934,34 ; 7.748.864,55 ; 762.930,21 ; 2.054,30 ; 180.201,63 ; -   ; -   ;;;;;;;;;;;;;;
26/10/26 seg;0,00%; 5,38 ;1.440.362,94 ; 274,37 ; 123.736,90 ; 1.440.637,31 ; 542.080,97 ; 6.987.410,41 ; 7.750.340,62 ; 762.930,21 ; 2.059,91 ; 180.693,66 ; -   ; -   ;;;;;;;;;;;;;;
27/10/26 ter;0,00%; 5,38 ;1.440.637,31 ; 274,43 ; 124.011,32 ; 1.440.911,74 ; 543.557,32 ; 6.988.886,77 ; 7.751.816,97 ; 762.930,21 ; 2.065,52 ; 181.185,77 ; -   ; -   ;;;;;;;;;;;;;;
28/10/26 qua;0,00%; 5,38 ;1.440.911,74 ; 274,48 ; 124.285,80 ; 1.441.186,22 ; 545.033,96 ; 6.990.363,40 ; 7.753.293,61 ; 762.930,21 ; 2.071,13 ; 181.677,99 ; -   ; -   ;;;;;;;;;;;;;;
29/10/26 qui;0,00%; 5,38 ;1.441.186,22 ; 274,53 ; 124.560,33 ; 1.441.460,75 ; 546.510,87 ; 6.991.840,32 ; 7.754.770,52 ; 762.930,21 ; 2.076,74 ; 182.170,29 ; -   ; -   ;;;;;;;;;;;;;;
30/10/26 sex;0,00%; 5,38 ;1.441.460,75 ; 274,58 ; 124.834,91 ; 1.441.735,33 ; 547.988,07 ; 6.993.317,51 ; 7.756.247,72 ; 762.930,21 ; 2.082,35 ; 182.662,69 ; -   ; -   ;;;;;;;;;;;;;;
31/10/26 sáb;0,00%; 5,38 ;1.441.735,33 ; 274,63 ; 125.109,55 ; 1.442.009,96 ; 549.465,55 ; 6.994.794,99 ; 7.757.725,20 ; 762.930,21 ; 2.087,97 ; 183.155,18 ; -   ; -   ;;;;;;;;;;;;;;
01/11/26 dom;0,00%; 5,38 ;1.442.009,96 ; 274,69 ; 125.384,23 ; 1.442.284,65 ; 550.943,31 ; 6.996.272,75 ; 7.759.202,96 ; 762.930,21 ; 2.093,58 ; 183.647,77 ; -   ; -   ;;;;;;;;;;;;;;
02/11/26 seg;0,00%; 5,38 ;1.442.284,65 ; 274,74 ; 125.658,97 ; 1.442.559,39 ; 552.421,35 ; 6.997.750,79 ; 7.760.681,00 ; 762.930,21 ; 2.099,20 ; 184.140,45 ; -   ; -   ;;;;;;;;;;;;;;
03/11/26 ter;0,00%; 5,38 ;1.442.559,39 ; 274,79 ; 125.933,76 ; 1.442.834,18 ; 553.899,67 ; 6.999.229,12 ; 7.762.159,32 ; 762.930,21 ; 2.104,82 ; 184.633,22 ; -   ; -   ;;;;;;;;;;;;;;
04/11/26 qua;0,00%; 5,38 ;1.442.834,18 ; 274,84 ; 126.208,61 ; 1.443.109,02 ; 555.378,28 ; 7.000.707,72 ; 7.763.637,93 ; 762.930,21 ; 2.110,44 ; 185.126,09 ; -   ; -   ;;;;;;;;;;;;;;
05/11/26 qui;0,00%; 5,38 ;1.443.109,02 ; 274,90 ; 126.483,50 ; 1.443.383,92 ; 556.857,17 ; 7.002.186,61 ; 7.765.116,81 ; 762.930,21 ; 2.116,06 ; 185.619,06 ; -   ; -   ;;;;;;;;;;;;;;
06/11/26 sex;0,00%; 5,38 ;1.443.383,92 ; 274,95 ; 126.758,45 ; 1.443.658,87 ; 558.336,33 ; 7.003.665,78 ; 7.766.595,98 ; 762.930,21 ; 2.121,68 ; 186.112,11 ; -   ; -   ;;;;;;;;;;;;;;
07/11/26 sáb;0,00%; 5,38 ;1.443.658,87 ; 275,00 ; 127.033,45 ; 1.443.933,87 ; 559.815,78 ; 7.005.145,23 ; 7.768.075,43 ; 762.930,21 ; 2.127,30 ; 186.605,26 ; -   ; -   ;;;;;;;;;;;;;;
08/11/26 dom;0,00%; 5,38 ;1.443.933,87 ; 275,05 ; 127.308,51 ; 1.444.208,92 ; 561.295,52 ; 7.006.624,96 ; 7.769.555,16 ; 762.930,21 ; 2.132,92 ; 187.098,51 ; -   ; -   ;;;;;;;;;;;;;;
09/11/26 seg;0,00%; 5,38 ;1.444.208,92 ; 275,11 ; 127.583,61 ; 1.444.484,03 ; 562.775,53 ; 7.008.104,97 ; 7.771.035,18 ; 762.930,21 ; 2.138,55 ; 187.591,84 ; -   ; -   ;;;;;;;;;;;;;;
10/11/26 ter;0,00%; 5,38 ;1.444.484,03 ; 275,16 ; 127.858,77 ; 1.444.759,19 ; 564.255,82 ; 7.009.585,27 ; 7.772.515,47 ; 762.930,21 ; 2.144,17 ; 188.085,27 ; -   ; -   ;;;;;;;;;;;;;;
11/11/26 qua;0,00%; 5,38 ;1.444.759,19 ; 275,21 ; 128.133,98 ; 1.445.034,40 ; 565.736,40 ; 7.011.065,84 ; 7.773.996,05 ; 762.930,21 ; 2.149,80 ; 188.578,80 ; -   ; -   ;;;;;;;;;;;;;;
12/11/26 qui;0,00%; 5,38 ;1.445.034,40 ; 275,26 ; 128.409,24 ; 1.445.309,66 ; 567.217,26 ; 7.012.546,70 ; 7.775.476,91 ; 762.930,21 ; 2.155,43 ; 189.072,42 ; -   ; -   ;;;;;;;;;;;;;;
13/11/26 sex;0,00%; 5,38 ;1.445.309,66 ; 275,32 ; 128.684,56 ; 1.445.584,98 ; 568.698,40 ; 7.014.027,84 ; 7.776.958,05 ; 762.930,21 ; 2.161,05 ; 189.566,13 ; -   ; -   ;;;;;;;;;;;;;;
14/11/26 sáb;0,00%; 5,38 ;1.445.584,98 ; 275,37 ; 128.959,93 ; 1.445.860,34 ; 570.179,83 ; 7.015.509,27 ; 7.778.439,47 ; 762.930,21 ; 2.166,68 ; 190.059,94 ; -   ; -   ;;;;;;;;;;;;;;
15/11/26 dom;0,00%; 5,38 ;1.445.860,34 ; 275,42 ; 129.235,35 ; 1.446.135,76 ; 571.661,53 ; 7.016.990,97 ; 7.779.921,18 ; 762.930,21 ; 2.172,31 ; 190.553,84 ; -   ; -   ;;;;;;;;;;;;;;
16/11/26 seg;0,00%; 5,38 ;1.446.135,76 ; 275,47 ; 129.510,82 ; 1.446.411,24 ; 573.143,52 ; 7.018.472,96 ; 7.781.403,17 ; 762.930,21 ; 2.177,95 ; 191.047,84 ; -   ; -   ;;;;;;;;;;;;;;
17/11/26 ter;0,00%; 5,38 ;1.446.411,24 ; 275,53 ; 129.786,35 ; 1.446.686,76 ; 574.625,79 ; 7.019.955,23 ; 7.782.885,44 ; 762.930,21 ; 2.183,58 ; 191.541,93 ; -   ; -   ;;;;;;;;;;;;;;
18/11/26 qua;0,00%; 5,38 ;1.446.686,76 ; 275,58 ; 130.061,92 ; 1.446.962,34 ; 576.108,34 ; 7.021.437,79 ; 7.784.367,99 ; 762.930,21 ; 2.189,21 ; 192.036,11 ; -   ; -   ;;;;;;;;;;;;;;
19/11/26 qui;0,00%; 5,38 ;1.446.962,34 ; 275,63 ; 130.337,55 ; 1.447.237,97 ; 577.591,18 ; 7.022.920,62 ; 7.785.850,83 ; 762.930,21 ; 2.194,85 ; 192.530,39 ; -   ; -   ;;;;;;;;;;;;;;
20/11/26 sex;0,00%; 5,38 ;1.447.237,97 ; 275,68 ; 130.613,24 ; 1.447.513,65 ; 579.074,30 ; 7.024.403,74 ; 7.787.333,94 ; 762.930,21 ; 2.200,48 ; 193.024,77 ; -   ; -   ;;;;;;;;;;;;;;
21/11/26 sáb;0,00%; 5,38 ;1.447.513,65 ; 275,74 ; 130.888,97 ; 1.447.789,39 ; 580.557,70 ; 7.025.887,14 ; 7.788.817,34 ; 762.930,21 ; 2.206,12 ; 193.519,23 ; -   ; -   ;;;;;;;;;;;;;;
22/11/26 dom;0,00%; 5,38 ;1.447.789,39 ; 275,79 ; 131.164,76 ; 1.448.065,17 ; 582.041,38 ; 7.027.370,82 ; 7.790.301,03 ; 762.930,21 ; 2.211,76 ; 194.013,79 ; -   ; -   ;;;;;;;;;;;;;;
23/11/26 seg;0,00%; 5,38 ;1.448.065,17 ; 275,84 ; 131.440,60 ; 1.448.341,01 ; 583.525,34 ; 7.028.854,79 ; 7.791.784,99 ; 762.930,21 ; 2.217,40 ; 194.508,45 ; -   ; -   ;;;;;;;;;;;;;;
24/11/26 ter;0,00%; 5,38 ;1.448.341,01 ; 275,89 ; 131.716,49 ; 1.448.616,91 ; 585.009,59 ; 7.030.339,03 ; 7.793.269,24 ; 762.930,21 ; 2.223,04 ; 195.003,20 ; -   ; -   ;;;;;;;;;;;;;;
25/11/26 qua;0,00%; 5,38 ;1.448.616,91 ; 275,95 ; 131.992,44 ; 1.448.892,85 ; 586.494,12 ; 7.031.823,56 ; 7.794.753,77 ; 762.930,21 ; 2.228,68 ; 195.498,04 ; -   ; -   ;;;;;;;;;;;;;;
26/11/26 qui;0,00%; 5,38 ;1.448.892,85 ; 276,00 ; 132.268,44 ; 1.449.168,85 ; 587.978,94 ; 7.033.308,38 ; 7.796.238,58 ; 762.930,21 ; 2.234,32 ; 195.992,98 ; -   ; -   ;;;;;;;;;;;;;;
27/11/26 sex;0,00%; 5,38 ;1.449.168,85 ; 276,05 ; 132.544,49 ; 1.449.444,90 ; 589.464,03 ; 7.034.793,47 ; 7.797.723,68 ; 762.930,21 ; 2.239,96 ; 196.488,01 ; -   ; -   ;;;;;;;;;;;;;;
28/11/26 sáb;0,00%; 5,38 ;1.449.444,90 ; 276,10 ; 132.820,59 ; 1.449.721,00 ; 590.949,41 ; 7.036.278,85 ; 7.799.209,06 ; 762.930,21 ; 2.245,61 ; 196.983,14 ; -   ; -   ;;;;;;;;;;;;;;
29/11/26 dom;0,00%; 5,38 ;1.449.721,00 ; 276,16 ; 133.096,74 ; 1.449.997,16 ; 592.435,07 ; 7.037.764,52 ; 7.800.694,72 ; 762.930,21 ; 2.251,25 ; 197.478,36 ; -   ; -   ;;;;;;;;;;;;;;
30/11/26 seg;0,00%; 5,38 ;1.449.997,16 ; 276,21 ; 133.372,95 ; 1.450.273,37 ; 593.921,02 ; 7.039.250,46 ; 7.802.180,67 ; 762.930,21 ; 2.256,90 ; 197.973,67 ; -   ; -   ;;;;;;;;;;;;;;
01/12/26 ter;0,00%; 5,38 ;1.450.273,37 ; 276,26 ; 133.649,21 ; 1.450.549,63 ; 595.407,25 ; 7.040.736,69 ; 7.803.666,90 ; 762.930,21 ; 2.262,55 ; 198.469,08 ; -   ; -   ;;;;;;;;;;;;;;
02/12/26 qua;0,00%; 5,38 ;1.450.549,63 ; 276,31 ; 133.925,53 ; 1.450.825,94 ; 596.893,76 ; 7.042.223,20 ; 7.805.153,41 ; 762.930,21 ; 2.268,20 ; 198.964,59 ; -   ; -   ;;;;;;;;;;;;;;
03/12/26 qui;0,00%; 5,38 ;1.450.825,94 ; 276,37 ; 134.201,89 ; 1.451.102,31 ; 598.380,55 ; 7.043.710,00 ; 7.806.640,20 ; 762.930,21 ; 2.273,85 ; 199.460,18 ; -   ; -   ;;;;;;;;;;;;;;
04/12/26 sex;0,00%; 5,38 ;1.451.102,31 ; 276,42 ; 134.478,31 ; 1.451.378,73 ; 599.867,63 ; 7.045.197,07 ; 7.808.127,28 ; 762.930,21 ; 2.279,50 ; 199.955,88 ; -   ; -   ;;;;;;;;;;;;;;
05/12/26 sáb;0,00%; 5,38 ;1.451.378,73 ; 276,47 ; 134.754,78 ; 1.451.655,20 ; 601.354,99 ; 7.046.684,43 ; 7.809.614,64 ; 762.930,21 ; 2.285,15 ; 200.451,66 ; -   ; -   ;;;;;;;;;;;;;;
06/12/26 dom;0,00%; 5,38 ;1.451.655,20 ; 276,52 ; 135.031,31 ; 1.451.931,72 ; 602.842,64 ; 7.048.172,08 ; 7.811.102,28 ; 762.930,21 ; 2.290,80 ; 200.947,55 ; -   ; -   ;;;;;;;;;;;;;;
07/12/26 seg;0,00%; 5,38 ;1.451.931,72 ; 276,58 ; 135.307,88 ; 1.452.208,30 ; 604.330,56 ; 7.049.660,01 ; 7.812.590,21 ; 762.930,21 ; 2.296,46 ; 201.443,52 ; -   ; -   ;;;;;;;;;;;;;;
